student_id,first_name,last_name,cohort_year,risk_profile,exam_type,exam_date,order_number,form_number,total_score,flag
S0001,"Antonio,",Robinson,2023,High Performer,CBSE,2021-10-15,OB-20211015-1,NA,95,Green
S0001,"Antonio,",Robinson,2023,High Performer,CBSE,2022-02-10,OB-20220210-1,NA,87,Green
S0001,"Antonio,",Robinson,2023,High Performer,CBSSA,2022-04-20,OB-20220420-1,25,80,Green
S0001,"Antonio,",Robinson,2023,High Performer,CBSSA,2022-05-25,OB-20220525-1,30,87,Green
S0001,"Antonio,",Robinson,2023,High Performer,CCSE,2023-01-20,OB-20230120-1,NA,76,Green
S0001,"Antonio,",Robinson,2023,High Performer,CCSE,2023-05-01,OB-20230501-1,NA,78,Green
S0001,"Antonio,",Robinson,2023,High Performer,CCSSA,2023-06-01,OB-20230601-1,9,89,Green
S0001,"Antonio,",Robinson,2023,High Performer,CCSSA,2023-06-25,OB-20230625-1,10,76,Green
S0001,"Antonio,",Robinson,2023,High Performer,Family Medicine,2022-08-15,OB-20220815-1,NA,87,NA
S0001,"Antonio,",Robinson,2023,High Performer,Internal Medicine,2022-10-10,OB-20221010-1,NA,94,NA
S0001,"Antonio,",Robinson,2023,High Performer,Surgery,2023-01-10,OB-20230110-1,NA,77,NA
S0001,"Antonio,",Robinson,2023,High Performer,ObGyn,2023-03-20,OB-20230320-1,NA,94,NA
S0001,"Antonio,",Robinson,2023,High Performer,CAS Proctored,2022-11-15,OB-20221115-1,1,76,NA
S0001,"Antonio,",Robinson,2023,High Performer,CAS Proctored,2023-03-15,OB-20230315-1,2,90,NA
S0002,"Jareer,",el-Farran,2023,At-Risk,CBSE,2021-10-15,OB-20211015-1,NA,44,Red
S0002,"Jareer,",el-Farran,2023,At-Risk,CBSE,2022-02-10,OB-20220210-1,NA,51,Yellow
S0002,"Jareer,",el-Farran,2023,At-Risk,CBSSA,2022-04-20,OB-20220420-1,25,38,Red
S0002,"Jareer,",el-Farran,2023,At-Risk,CBSSA,2022-05-25,OB-20220525-1,30,31,Red
S0002,"Jareer,",el-Farran,2023,At-Risk,CCSE,2023-01-20,OB-20230120-1,NA,50,Yellow
S0002,"Jareer,",el-Farran,2023,At-Risk,CCSE,2023-05-01,OB-20230501-1,NA,49,Red
S0002,"Jareer,",el-Farran,2023,At-Risk,CCSSA,2023-06-01,OB-20230601-1,9,51,Yellow
S0002,"Jareer,",el-Farran,2023,At-Risk,CCSSA,2023-06-25,OB-20230625-1,10,32,Red
S0002,"Jareer,",el-Farran,2023,At-Risk,Family Medicine,2022-08-15,OB-20220815-1,NA,30,NA
S0002,"Jareer,",el-Farran,2023,At-Risk,Internal Medicine,2022-10-10,OB-20221010-1,NA,45,NA
S0002,"Jareer,",el-Farran,2023,At-Risk,Surgery,2023-01-10,OB-20230110-1,NA,52,NA
S0002,"Jareer,",el-Farran,2023,At-Risk,ObGyn,2023-03-20,OB-20230320-1,NA,41,NA
S0002,"Jareer,",el-Farran,2023,At-Risk,CAS Proctored,2022-11-15,OB-20221115-1,1,31,NA
S0002,"Jareer,",el-Farran,2023,At-Risk,CAS Proctored,2023-03-15,OB-20230315-1,2,40,NA
S0003,"Fabian,",Guyon,2023,Average,CBSE,2021-10-15,OB-20211015-1,NA,58,Yellow
S0003,"Fabian,",Guyon,2023,Average,CBSE,2022-02-10,OB-20220210-1,NA,61,Green
S0003,"Fabian,",Guyon,2023,Average,CBSSA,2022-04-20,OB-20220420-1,25,67,Green
S0003,"Fabian,",Guyon,2023,Average,CBSSA,2022-05-25,OB-20220525-1,30,70,Green
S0003,"Fabian,",Guyon,2023,Average,CCSE,2023-01-20,OB-20230120-1,NA,66,Green
S0003,"Fabian,",Guyon,2023,Average,CCSE,2023-05-01,OB-20230501-1,NA,69,Green
S0003,"Fabian,",Guyon,2023,Average,CCSSA,2023-06-01,OB-20230601-1,9,62,Green
S0003,"Fabian,",Guyon,2023,Average,CCSSA,2023-06-25,OB-20230625-1,10,73,Green
S0003,"Fabian,",Guyon,2023,Average,Family Medicine,2022-08-15,OB-20220815-1,NA,75,NA
S0003,"Fabian,",Guyon,2023,Average,Internal Medicine,2022-10-10,OB-20221010-1,NA,70,NA
S0003,"Fabian,",Guyon,2023,Average,Surgery,2023-01-10,OB-20230110-1,NA,55,NA
S0003,"Fabian,",Guyon,2023,Average,ObGyn,2023-03-20,OB-20230320-1,NA,65,NA
S0003,"Fabian,",Guyon,2023,Average,CAS Proctored,2022-11-15,OB-20221115-1,1,71,NA
S0003,"Fabian,",Guyon,2023,Average,CAS Proctored,2023-03-15,OB-20230315-1,2,59,NA
S0004,"Camara,",Jones,2023,High Performer,CBSE,2021-10-15,OB-20211015-1,NA,76,Green
S0004,"Camara,",Jones,2023,High Performer,CBSE,2022-02-10,OB-20220210-1,NA,85,Green
S0004,"Camara,",Jones,2023,High Performer,CBSSA,2022-04-20,OB-20220420-1,25,86,Green
S0004,"Camara,",Jones,2023,High Performer,CBSSA,2022-05-25,OB-20220525-1,30,92,Green
S0004,"Camara,",Jones,2023,High Performer,CCSE,2023-01-20,OB-20230120-1,NA,90,Green
S0004,"Camara,",Jones,2023,High Performer,CCSE,2023-05-01,OB-20230501-1,NA,86,Green
S0004,"Camara,",Jones,2023,High Performer,CCSSA,2023-06-01,OB-20230601-1,9,76,Green
S0004,"Camara,",Jones,2023,High Performer,CCSSA,2023-06-25,OB-20230625-1,10,78,Green
S0004,"Camara,",Jones,2023,High Performer,Family Medicine,2022-08-15,OB-20220815-1,NA,89,NA
S0004,"Camara,",Jones,2023,High Performer,Internal Medicine,2022-10-10,OB-20221010-1,NA,77,NA
S0004,"Camara,",Jones,2023,High Performer,Surgery,2023-01-10,OB-20230110-1,NA,79,NA
S0004,"Camara,",Jones,2023,High Performer,ObGyn,2023-03-20,OB-20230320-1,NA,82,NA
S0004,"Camara,",Jones,2023,High Performer,CAS Proctored,2022-11-15,OB-20221115-1,1,92,NA
S0004,"Camara,",Jones,2023,High Performer,CAS Proctored,2023-03-15,OB-20230315-1,2,80,NA
S0005,"Brendan,",Nickerson,2023,Average,CBSE,2021-10-15,OB-20211015-1,NA,72,Green
S0005,"Brendan,",Nickerson,2023,Average,CBSE,2022-02-10,OB-20220210-1,NA,63,Green
S0005,"Brendan,",Nickerson,2023,Average,CBSSA,2022-04-20,OB-20220420-1,25,74,Green
